title,author,year_published,canon_tier,primary_type,tone,scope,readability,pages,language,description,read
War and Peace,Leo Tolstoy,1869,1 - Undisputed peak,Social World,Warm; Elegiac,Panoramic,7,1225,Russian,"Five aristocratic Russian families collide with Napoleon's invasion, weaving love affairs and battlefield chaos across two decades. Tolstoy's grand philosophical digressions and enormous cast demand patience, but the emotional payoffs are staggering.",
Anna Karenina,Leo Tolstoy,1877,1 - Undisputed peak,Psychological Portrait,Warm; Dark,Social,6,864,Russian,"Two parallel love stories — one transgressive, one conventional — expose the fault lines of Russian society and the human heart. Tolstoy writes with penetrating psychological insight in long, beautifully constructed sentences that reward close attention.",
Pride and Prejudice,Jane Austen,1813,1 - Undisputed peak,Social World,Comic; Warm,Social,4,279,English,"Elizabeth Bennet and Mr. Darcy circle each other through misunderstandings, wounded pride, and the social mechanics of Regency England. Austen's irony is razor-sharp, and the prose, while period in register, moves with surprising wit and speed.",
Middlemarch,George Eliot,1871,1 - Undisputed peak,Social World,Warm,Social,7,880,English,"Idealistic Dorothea Brooke makes a disastrous marriage, while ambitious Dr. Lydgate makes his own — and an entire English town reveals itself around them. Eliot's narrator is omniscient and digressive, the sentences long and densely intelligent; this is a novel that asks you to think alongside it.",
Moby-Dick,Herman Melville,1851,1 - Undisputed peak,Interiority,Dark; Elegiac,Panoramic,7,720,English,"Captain Ahab drags his crew across the world's oceans in obsessive pursuit of the white whale that took his leg. Melville veers between gripping sea narrative and encyclopedic digressions on whaling, cetology, and metaphysics — brilliant and deliberately excessive.",
Great Expectations,Charles Dickens,1861,1 - Undisputed peak,Social World,Warm; Elegiac,Social,5,544,English,"Orphan Pip rises from the marshes of Kent to London's drawing rooms, propelled by a mysterious benefactor and his own illusions about what makes a gentleman. Dickens's Victorian prose has real texture and density, but his storytelling instinct keeps every chapter turning.",
The Great Gatsby,F. Scott Fitzgerald,1925,1 - Undisputed peak,Psychological Portrait,Elegiac,Chamber,4,180,English,"Nick Carraway watches his mysterious neighbor Gatsby throw lavish parties in pursuit of a woman who represents everything money can and cannot buy. Fitzgerald's prose is lyrical and precise — short, luminous, and devastating in its final pages.",
Ulysses,James Joyce,1922,1 - Undisputed peak,Interiority,Comic; Warm,Social,10,783,English,"Leopold Bloom wanders Dublin on a single June day, crossing paths with Stephen Dedalus and the whole life of a city. Joyce reinvents prose style chapter by chapter — stream of consciousness, parody, catechism, hallucination — making this the Mount Everest of literary fiction.",
Crime and Punishment,Fyodor Dostoevsky,1866,1 - Undisputed peak,Moral Crucible,Dark,Chamber,4,545,Russian,"An impoverished student in St. Petersburg murders a pawnbroker and then unravels psychologically under the weight of his own rationalizations. Dostoevsky's feverish intensity is gripping, and while the prose is direct, the philosophical dialogues and psychological spiraling demand real engagement.",
The Brothers Karamazov,Fyodor Dostoevsky,1880,1 - Undisputed peak,Moral Crucible,Dark; Warm,Chamber,5,796,Russian,"Three brothers — intellectual, sensual, and saintly — orbit their debauched father in a story that becomes a trial for the soul itself. Dostoevsky layers murder mystery with theological debate in long, impassioned speeches; it's consuming but never simple.",
Madame Bovary,Gustave Flaubert,1857,1 - Undisputed peak,Psychological Portrait,Cold,Chamber,5,329,French,"A provincial doctor's wife, suffocated by bourgeois tedium, pursues love affairs and luxury until reality closes in. Flaubert's prose is surgical and ironic, every sentence precisely weighted — more formally controlled than it first appears.",
