title,author,narrator,year_published,genre,engagement,age_min,age_max,listening_hours,series_name,series_order,description,listened
Percy Jackson and the Lightning Thief,Rick Riordan,Jesse Bernstein,2005,Fantasy,5,9,12,10,Percy Jackson,1,"Greek gods are real and Percy is one of their kids. Non-stop action from monster attacks to a cross-country quest.",
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Jim Dale,1997,Fantasy,5,8,12,8.5,Harry Potter,1,"An orphaned boy discovers he's a wizard and enters a magical school full of secrets and danger.",
The Lion the Witch and the Wardrobe,C.S. Lewis,Kenneth Branagh,1950,Fantasy,4,8,12,4.5,The Chronicles of Narnia,1,"Four siblings find a magical world through a wardrobe and must defeat a witch who cursed it into eternal winter.",
The Land of Stories: The Wishing Spell,Chris Colfer,Chris Colfer,2012,Fantasy,5,8,12,9,The Land of Stories,1,"Twins fall into a book of fairy tales and must collect magical items to find their way home.",
Wings of Fire: The Dragonet Prophecy,Tui T. Sutherland,Shannon McManus,2012,Fantasy,5,8,12,8.5,Wings of Fire,1,"Five young dragons raised in captivity escape to fulfill a prophecy and end a brutal war.",
Fablehaven,Brandon Mull,E.B. Stevens,2006,Fantasy,5,9,12,10,Fablehaven,1,"Kendra and Seth discover their grandparents' estate is a secret preserve for magical creatures — some very dangerous.",
Nevermoor: The Trials of Morrigan Crow,Jessica Townsend,Gemma Whelan,2017,Fantasy,5,9,12,11,Nevermoor,1,"A cursed girl is rescued and brought to a magical city where she must pass deadly trials to earn her place.",
The Girl Who Drank the Moon,Kelly Barnhill,Christina Moore,2016,Fantasy,4,9,12,9,,,"A witch accidentally feeds a baby moonlight and must raise the most magically powerful child in the world.",
Tuck Everlasting,Natalie Babbitt,Peter Thomas,1975,Fantasy,3,9,12,3,,,"A girl discovers a family who drank from a spring granting immortality and must decide if eternal life is a gift or curse.",
The Phantom Tollbooth,Norton Juster,Milo Ventimiglia,1961,Fantasy,4,8,12,5,,,"Bored Milo drives through a magical tollbooth into a land where words and numbers are at war.",
